customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,internet_service,phone_service,multiple_lines,online_security,churn,tenure_segment,age_group,charge_segment,value_score,risk_score,customer_segment
CUST_00001,56.0,Female,35.0,41.619685028841964,1456.6889760094687,Month-To-Month,Fiber Optic,No,Yes,No,No,Long-term (>2yrs),46-60,Low,0.37815594066260916,0.5,Critical
CUST_00002,69.0,Female,12.0,82.66582941456501,991.9899529747802,One Year,Dsl,Yes,No Phone Service,No,Yes,Short-term (<1yr),60+,High,0.45137540757974,0.7333333333333334,Critical
CUST_00003,46.0,Female,40.0,70.7298789362201,2829.195157448804,One Year,No,Yes,Yes,No,No,Long-term (>2yrs),46-60,Medium,0.46805560347370967,0.5,Critical
CUST_00004,32.0,Male,13.0,73.88222781249169,960.468961562392,Two Year,Fiber Optic,No,No,No,Yes,Medium-term (1-2yrs),31-45,High,0.4287192287565641,0.6,Critical
CUST_00005,60.0,Male,5.0,64.90378573253237,388.3034290305585,Two Year,Fiber Optic,Yes,Yes,Yes,No,Short-term (<1yr),60+,Medium,0.38948532602711794,0.5333333333333333,Critical
CUST_00006,25.0,Male,20.0,68.94502588160829,1378.9005176321657,Month-To-Month,Fiber Optic,Yes,No,Yes,No,Medium-term (1-2yrs),18-30,Medium,0.4274550049265975,0.4,Critical
CUST_00007,78.0,Female,42.0,44.24749229461402,1858.3946763737888,Two Year,Dsl,Yes,Yes,Yes,No,Long-term (>2yrs),60+,Low,0.3979392401369334,0.3,Low Value Loyal
CUST_00008,38.0,Male,15.0,69.20782452828169,1038.1173679242254,One Year,Dsl,Yes,No,No Internet Service,No,Medium-term (1-2yrs),31-45,Medium,0.41927748272723375,0.5,Critical
CUST_00009,56.0,Female,62.0,60.6426252367976,3759.842764681451,One Year,Fiber Optic,Yes,Yes,No,No,Long-term (>2yrs),46-60,Medium,0.47918885819241963,0.5,Critical
CUST_00010,75.0,Male,15.0,61.17193837314773,917.5790755972159,Two Year,No,Yes,No,No Internet Service,No,Medium-term (1-2yrs),60+,Medium,0.39691987591882627,0.5,Critical
CUST_00011,36.0,Female,13.0,46.127106216586256,599.6523808156213,Month-To-Month,Fiber Optic,Yes,Yes,No,No,Medium-term (1-2yrs),31-45,Low,0.35149836181280514,0.6,Critical
CUST_00012,40.0,Female,191.0,34.87589629580906,6661.296192499532,Two Year,No,Yes,No,No,No,Long-term (>2yrs),31-45,Low,0.6373442359547414,0.5,Critical
CUST_00013,28.0,Female,20.0,53.655292541342575,1073.1058508268516,One Year,Dsl,No,Yes,No Internet Service,No,Medium-term (1-2yrs),18-30,Low,0.384915596126155,0.5,Critical
CUST_00014,28.0,Male,50.0,75.90719032883592,3795.359516441796,Month-To-Month,No,Yes,Yes,Yes,No,Long-term (>2yrs),18-30,High,0.5002773970527432,0.3,Low Value Loyal
CUST_00015,41.0,Male,50.0,63.611934114151246,3180.5967057075623,Month-To-Month,Fiber Optic,No,No,Yes,No,Long-term (>2yrs),31-45,Medium,0.46606928375326284,0.3,Low Value Loyal
CUST_00016,70.0,Male,79.0,100.66342768420719,7952.4107870523685,One Year,Dsl,Yes,Yes,No,No,Long-term (>2yrs),60+,High,0.620825085549338,0.5,Critical
CUST_00017,53.0,Male,3.0,63.689521397358774,191.06856419207634,One Year,No,No,No,No Internet Service,No,Short-term (<1yr),46-60,Medium,0.382543500572491,0.6333333333333333,Critical
CUST_00018,57.0,Male,10.0,68.89824745335164,688.9824745335164,One Year,Fiber Optic,Yes,No,No,Yes,Short-term (<1yr),46-60,Medium,0.4095074850891639,0.7333333333333334,Critical
CUST_00019,41.0,Male,44.0,65.33241348812119,2874.6261934773324,Month-To-Month,Fiber Optic,Yes,No,Yes,Yes,Long-term (>2yrs),31-45,Medium,0.4601656134916795,0.3,Low Value Loyal
CUST_00020,20.0,Male,25.0,43.74705879007867,1093.6764697519668,Month-To-Month,Fiber Optic,Yes,No,No,Yes,Long-term (>2yrs),18-30,Low,0.36625739151190884,0.5,Critical
CUST_00021,39.0,Female,25.0,64.57078151185983,1614.2695377964958,One Year,Fiber Optic,Yes,No,No,Yes,Long-term (>2yrs),31-45,Medium,0.4241935787491362,0.5,Critical
CUST_00022,70.0,Female,6.0,43.63314006887222,261.79884041323334,Month-To-Month,No,Yes,No,No,Yes,Short-term (<1yr),60+,Low,0.3320874378344214,0.7333333333333334,Critical
CUST_00023,19.0,Male,10.0,63.63023577766048,636.3023577766048,Month-To-Month,Dsl,Yes,No Phone Service,Yes,No,Short-term (<1yr),18-30,Medium,0.39485071526522164,0.5333333333333333,Critical
CUST_00024,41.0,Female,23.0,29.801292464290853,685.4297266786896,Month-To-Month,No,Yes,No,No,Yes,Medium-term (1-2yrs),31-45,Low,0.32389372083803925,0.6,Critical
CUST_00025,61.0,Male,10.0,63.61074099389525,636.1074099389525,Month-To-Month,No,Yes,Yes,No,No,Short-term (<1yr),60+,Medium,0.3947964764791284,0.7333333333333334,Critical
CUST_00026,47.0,Male,8.0,67.96095738420222,543.6876590736177,Month-To-Month,Fiber Optic,Yes,Yes,Yes,Yes,Short-term (<1yr),46-60,Medium,0.40333626310206616,0.5333333333333333,Critical
CUST_00027,55.0,Male,3.0,69.40238390998857,208.20715172996572,Month-To-Month,Dsl,No,Yes,Yes,Yes,Short-term (<1yr),46-60,Medium,0.39843794349292316,0.5333333333333333,Critical
CUST_00028,19.0,Female,6.0,36.30919062039162,217.8551437223497,Two Year,Fiber Optic,No,No Phone Service,No,No,Short-term (<1yr),18-30,Low,0.3117105958915862,0.7333333333333334,Critical
CUST_00029,77.0,Male,44.0,74.61437058853983,3283.0323058957524,One Year,Fiber Optic,Yes,No Phone Service,Yes,Yes,Long-term (>2yrs),60+,High,0.48599006436833664,0.3,Low Value Loyal
